InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,TotalAmount,InvoiceMonth
536365,851230,Sample Product 1,6,2025-12-01 08:26:00,2.55,17850,United Kingdom,15.299999999999999,2025-12
536366,851231,Sample Product 2,8,2025-12-01 08:26:00,3.39,17851,France,27.12,2025-12
536368,851233,Sample Product 4,12,2025-12-01 08:26:00,7.65,17853,United Kingdom,91.80000000000001,2025-12
536369,851234,Sample Product 5,2,2025-12-01 08:26:00,4.25,17854,United Kingdom,8.5,2025-12
536370,851230,Sample Product 1,4,2025-12-01 08:26:00,2.55,17855,France,10.2,2025-12
536371,851231,Sample Product 2,10,2025-12-01 08:26:00,3.39,17856,Germany,33.9,2025-12
536372,851232,Sample Product 3,1,2025-12-01 08:26:00,2.75,17857,United Kingdom,2.75,2025-12
536373,851233,Sample Product 4,3,2025-12-01 08:26:00,7.65,17850,United Kingdom,22.950000000000003,2025-12
536374,851234,Sample Product 5,24,2025-12-01 08:26:00,4.25,17851,France,102.0,2025-12
536365,851230,Sample Product 1,6,2025-12-01 08:26:00,2.55,17852,Germany,15.299999999999999,2025-12
536366,851231,Sample Product 2,8,2025-12-01 08:26:00,3.39,17853,United Kingdom,27.12,2025-12
536368,851233,Sample Product 4,12,2025-12-01 08:26:00,7.65,17855,France,91.80000000000001,2025-12
536369,851234,Sample Product 5,2,2025-12-01 08:26:00,4.25,17856,Germany,8.5,2025-12
536370,851230,Sample Product 1,4,2025-12-01 08:26:00,2.55,17857,United Kingdom,10.2,2025-12
536371,851231,Sample Product 2,10,2025-12-01 08:26:00,3.39,17850,United Kingdom,33.9,2025-12
536372,851232,Sample Product 3,1,2025-12-01 08:26:00,2.75,17851,France,2.75,2025-12
536373,851233,Sample Product 4,3,2025-12-01 08:26:00,7.65,17852,Germany,22.950000000000003,2025-12
536374,851234,Sample Product 5,24,2025-12-01 08:26:00,4.25,17853,United Kingdom,102.0,2025-12
536365,851230,Sample Product 1,6,2025-12-01 08:26:00,2.55,17854,United Kingdom,15.299999999999999,2025-12
536366,851231,Sample Product 2,8,2025-12-01 08:26:00,3.39,17855,France,27.12,2025-12
536368,851233,Sample Product 4,12,2025-12-01 08:26:00,7.65,17857,United Kingdom,91.80000000000001,2025-12
536369,851234,Sample Product 5,2,2025-12-01 08:26:00,4.25,17850,United Kingdom,8.5,2025-12
536370,851230,Sample Product 1,4,2025-12-01 08:26:00,2.55,17851,France,10.2,2025-12
536371,851231,Sample Product 2,10,2025-12-01 08:26:00,3.39,17852,Germany,33.9,2025-12
536372,851232,Sample Product 3,1,2025-12-01 08:26:00,2.75,17853,United Kingdom,2.75,2025-12
536373,851233,Sample Product 4,3,2025-12-01 08:26:00,7.65,17854,United Kingdom,22.950000000000003,2025-12
536374,851234,Sample Product 5,24,2025-12-01 08:26:00,4.25,17855,France,102.0,2025-12
536365,851230,Sample Product 1,6,2025-12-01 08:26:00,2.55,17856,Germany,15.299999999999999,2025-12
536366,851231,Sample Product 2,8,2025-12-01 08:26:00,3.39,17857,United Kingdom,27.12,2025-12
536368,851233,Sample Product 4,12,2025-12-01 08:26:00,7.65,17851,France,91.80000000000001,2025-12
536369,851234,Sample Product 5,2,2025-12-01 08:26:00,4.25,17852,Germany,8.5,2025-12
536370,851230,Sample Product 1,4,2025-12-01 08:26:00,2.55,17853,United Kingdom,10.2,2025-12
